Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,"$111,392 ",Yes,Growth
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,"$93,793 ",No,Decline
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,"$107,170 ",Yes,Growth
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,"$93,028 ",No,Growth
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,"$87,753 ",Yes,Decline
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,"$102,825 ",No,Growth
HR Manager,Finance,Medium,Singapore,Low,High,Sales,"$102,066 ",Yes,Growth
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,"$86,607 ",Yes,Decline
AI Researcher,Retail,Large,London,High,Low,JavaScript,"$75,016 ",No,Stable
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,"$96,835 ",Yes,Decline
Marketing Specialist,Finance,Small,London,High,High,Python,"$91,567 ",Yes,Growth
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,"$78,903 ",No,Growth
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,"$73,152 ",Yes,Growth
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,"$98,210 ",Yes,Decline
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,"$101,002 ",Yes,Growth
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,"$82,799 ",No,Growth
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,"$78,401 ",No,Decline
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,"$73,395 ",No,Stable
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,"$97,645 ",Yes,Stable
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,"$73,920 ",Yes,Growth
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,"$134,823 ",Yes,Decline
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,"$81,794 ",Yes,Growth
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,"$41,496 ",No,Decline
